"","TB_USCH","TB_USJP","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","EX_UKUS","EX_JPUS","EX_CHUS","T_CH","T_JP","T_US","T_UK","rwPred1_JPUS","rwPred1_UKUS","rwPred1_CHUS","rwPred3_JPUS","rwPred3_UKUS","rwPred3_CHUS","rwPred6_JPUS","rwPred6_UKUS","rwPred6_CHUS","rwPred12_JPUS","rwPred12_UKUS","rwPred12_CHUS","strPred1_JPUS","strPred1_UKUS","strPred1_CHUS","strPred3_JPUS","strPred3_UKUS","strPred3_CHUS","strPred6_JPUS","strPred6_UKUS","strPred6_CHUS","strPred12_JPUS","strPred12_UKUS","strPred12_CHUS","varPred1_JPUS","varPred1_UKUS","varPred1_CHUS","varPred3_JPUS","varPred3_UKUS","varPred3_CHUS","varPred6_JPUS","varPred6_UKUS","varPred6_CHUS","varPred12_JPUS","varPred12_UKUS","varPred12_CHUS"
"1990-03-01",0.0797576760315742,0.0421063385697265,0.00274091201953208,0.0382597014747601,0.0174524457641319,-0.222756669918742,0.0715921663937579,-0.147157833606242,2.03404434284682e-05,0.0304879976575783,0.0272687391630473,-0.145710015106148,-0.0944347082698478,0.0243152917301468,0.0330257719012958,0.0461583844904336,0.0089565292871255,22817810.7809841,237980265.500804,-969797656.25,-190642512.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-04-01",-0.27237146145192,-0.160975257717181,-0.0166886693763693,0.0128468249980991,-0.00802842946137705,0.227611825563741,0.206573361188741,0.32532336118874,0.0130770479500191,0.0625613085217793,0.00305539972749092,-0.00286460551467638,-0.408114607813045,-0.901864607813033,-0.00595396008082926,0.033655889549614,-0.0212152989861318,132454534.765603,-846125602.201516,-145378125,-344439995.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-05-01",-0.440573105604086,-0.0155103323183248,-0.0438138141677984,-0.0172556900263989,-0.0267765406342053,-0.119001829078868,-0.0143846220788683,0.0231153779211322,-0.0586886432736318,-0.00109895670625293,-0.0312486326586345,-0.331209561593188,-0.187106700152244,-0.268356700152253,-0.0251546550845757,-0.0238863568004542,-0.0409869189766697,-119422573.677544,-248674185.505856,-1312303125,-108143823.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-06-01",0.163091021609278,0.0472036105930641,-2.97695016833188e-05,-0.0109244633347283,-0.0287553038417072,-0.251577628203129,-0.22452528182813,-0.26827528182813,-0.00390212479725727,0.0143904299580595,-0.0116282877014036,0.168120855662831,0.243079557584448,-0.000670442415549921,-0.01702886701427,0.00349884469227651,0.00438540379139337,-16852394.7308708,101557497.9546,-307832031.25,219144863.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-07-01",-0.314424307417717,-0.116703218303853,-0.0124585461165787,-0.0282388229825894,-0.0452315796657861,0.197420541729074,0.233538038104074,0.114788038104074,0.0084473010854198,-0.0361964631680443,-0.041097708227565,-0.140232505516382,0.0186623744288079,-0.0938376255711981,-0.0499996358593473,-0.0288878670412666,-0.0186741558150143,16244506.7066033,-250652882.998646,474307812.5,-176944743.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-08-01",-0.775111583440259,-0.0463766363229854,-0.0609746430388511,-0.0140086219513582,-0.0508758660597588,0.189361218142837,0.192201153892838,0.135951153892838,-0.0431983113083425,0.0161726084707905,-0.0339749094259003,-0.273504740041657,0.121706881784887,0.0967068817848942,-0.0484032332159718,-0.0109447602026993,-0.0553338692619713,91634187.4363884,771236686.136866,-388123437.5,-389501564.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-09-01",0.0115095234569422,0.178838247196363,-0.00552615887302355,-0.0697726140562145,-0.0034073340879579,0.239319647943407,0.196363733943406,0.046363733943407,-0.00662292305366763,-0.0672732176897162,0.0130751273748015,-0.0448345373655878,-0.203890200913906,-0.0663902009139035,0.0139950195126319,-0.0519491636316614,0.011268680153192,28407631.7088591,860692649.885403,406139843.75,-246661329.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-10-01",0.416004710688398,-0.156404417818794,-0.00813652059376491,-0.052661613730854,-0.0274661472340243,0.0324069813839863,-0.0164081669910137,-0.035158166991014,-0.000567292578805834,-0.0373032604438956,-0.0327414771041394,-0.0789891303912404,-0.563753259259873,-0.220003259259877,-0.0324493398097821,-0.0568279732347527,-0.0114588910623738,-212791098.463658,-28504034.1641607,628618750,-651994410.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-11-01",-0.0878093944337085,-0.0222819315394454,-0.0315635005916455,-0.0117168118890207,-0.021292551079507,0.367488518131375,0.375575077193875,0.0818250771938748,-0.0291032601711743,0.0021655740154094,-0.0100546139635083,-0.413447205621738,0.0414187326225988,0.00391873262260267,-0.0117071061406545,-0.00447991202896869,-0.0269097860795282,-68980757.1804072,-443303267.929923,-669441406.25,123743003.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-12-01",-0.316199724722552,-0.0709629676670347,0.00653633136046627,0.0127594215919713,0.0177894655982416,0.226811280534053,0.125994077034053,-0.167755922965946,-0.0191119105577284,-0.00922298425330181,0.0152275174614496,0.0802049071754944,0.0745190745811564,0.180769074581147,0.0277738368994303,0.0282240399401953,0.0244451363511399,87542061.0706858,-1060067942.92817,-662672656.25,559370638.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
