"","TB_USCH","TB_USJP","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1986-09-01",-0.649587591461571,5.18807167775901,3.01676817521839,0.00455347205206635,3.26208351257128,6.36023582622181,4.26856973622181,-3.33143026377819,-18.2874996879684,-20.7563395025774,-19.0052804333958,-22.0166367630962,-39.4054447571271,1.8646423677519,1,1,1,-0.385126337112634,5.04169071047978,0.503015201674014
"1986-10-01",-1.24609383557476,5.15831565075735,3.00725922584964,0.0182887833762635,2.65150749288323,6.26716615092667,4.27433934092667,-3.32566065907333,-18.2993564675985,-20.7023347860694,-19.0073910199384,-21.9912419670656,-39.4632536906636,1.8160299492202,1.96881082893676,1.91829045749716,1.97068703151741,-0.355153787566794,5.05287899750931,0.496706415205107
"1986-11-01",-0.979339186143078,5.33226582351547,3.03521919209489,0.0430796076238025,2.64196559284811,6.20909392157488,4.11595597157488,-3.38404402842512,-18.2705098985493,-20.6627930672173,-19.0085891424153,-22.1185043981644,-39.0210626242,1.4950070757032,2.99281091679446,2.8466242974703,2.98347480640974,-0.353329353687636,5.09282584734333,0.522240228581245
"1986-12-01",-0.873556196311648,5.51217859296042,3.01106146699657,0.0237564165055275,2.63838989111479,5.93967140938324,3.74818093938324,-3.55181906061676,-18.2683283046767,-20.7307881977892,-18.9566395067667,-22.2135656954156,-38.7788715577364,1.4009929146741,3.81944683032398,3.72882199423225,3.88770928391423,-0.364156884286488,5.0879191226371,0.509644927017828
"1987-01-01",-1.33229508196721,5.41134722388175,2.95457189700647,0.00459357890752443,2.19758625155598,5.97128163055194,3.78209642055194,-3.41790357944806,-18.3210282916142,-20.7202391603689,-19.0690905920698,-22.3164687959961,-38.1835340924913,1.5147234099288,4.85011552358568,4.54334103496018,4.89945009085184,-0.409058643618295,5.04232451147521,0.445710936676691
"1987-02-01",-1.03208660650523,5.57117423738713,2.93601174359754,-0.0156924778644907,2.17205782800682,5.90299174338994,3.71472801338994,-3.38527198661006,-18.3505207285976,-20.7393874350553,-19.1174941006236,-22.3509493410011,-38.0147698266369,1.5018807057929,5.68253672454031,5.36577838980366,5.80354505957995,-0.423959690744329,5.03309321650348,0.431977202648275
"1987-03-01",-0.465486972906245,5.57425708497212,2.9222026197017,-0.0382589760870857,2.10764699065979,5.86488542784481,3.77624844784481,-3.22375155215519,-18.3533920346014,-20.7980474318663,-19.2057085208564,-22.2369949550884,-38.103814494319,1.6220325531157,6.47850964176461,6.22496270202413,6.63834487527564,-0.465179511880243,5.0201446036214,0.431197830003771
"1987-04-01",-0.175896784544421,5.62331684145261,2.89324552825008,-0.0974021796750364,2.07918644078848,5.65232660278489,3.46331385278489,-3.43668614721511,-18.3535602126972,-20.8299384045176,-19.1917012507049,-22.0707121087231,-38.6506680955375,1.3303580419262,7.36067524537144,7.10905064756783,7.54388714973902,-0.48937724296012,4.96213528782695,0.402728032398278
"1987-05-01",-0.113546412784768,5.64302949195253,2.87328541186055,-0.126259432240559,2.04007672514035,5.64830333979686,3.25880395979686,-3.24119604020314,-18.3909358859181,-20.8730254121236,-19.272238441449,-21.5161305539905,-38.6819038296831,1.453720565283,8.31216269282598,7.97115964089034,8.46013044058735,-0.510785622965969,4.94505801141045,0.385602479011913
"1987-06-01",-0.137093138879682,5.6535073798249,2.89737786263988,-0.102250941213409,2.06041971358669,5.45978075445737,3.16850122445737,-3.23149877554263,-18.3654477150344,-20.8353276785686,-19.2610294891419,-21.5684012315842,-38.3131395638288,1.6224848311373,9.3553157066971,8.89681628495192,9.48598545058394,-0.487843547374067,4.97362200944565,0.411115779616979
