"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1990-02-01",-0.416137375410125,-0.0129724033390484,-0.594593882352938,-0.0263390459485963,-0.00576735766335802,-0.0334674275433552,0.00119044530683349,0.164027591248011,-0.0183253499284601,-0.01194932900593,-0.0285207353860948,-0.038569686871006,0.0316189563064077,-0.306526784253946,-0.288879725430419,0.0173653778793389,-0.0741742017730702,0.0540223105516328,-0.0335121822833094,0.0031203091314392,-0.0308173539816782
"1990-03-01",-0.418380354531033,0.0377392704208907,0.64584082352941,0.00443132842512645,0.0386708574706118,0.0193511640096759,-0.224516395575297,0.0459955197776437,-0.14812212728118,0.00218652463905463,0.0304773477569176,0.0295605188522789,-0.135598256231942,-0.0981626038737765,0.0430138667144614,-0.0795130111328677,-0.0364347197947052,-0.196580284568367,0.035198410222348,0.0461521912639171,0.010584114679608
"1990-04-01",0.47269877944175,-0.172577706623137,-0.402074588235293,-0.0175011950594242,0.0108266503177437,-0.00904892992004651,0.224424517499914,0.205203445441091,0.316968151323444,0.0125897429334655,0.0615207525449161,0.00337700905635137,-0.00895498363314615,-0.42592876807803,-0.925928768078031,-0.115694874569276,-0.127786363547439,-0.0827183246928072,-0.00859895132770597,0.030622946203041,-0.0220101655317195
"1990-05-01",-0.4530295144904,0.00902152212752487,-0.477105294117648,-0.0434500327300398,-0.0184877016310472,-0.0269937082799248,-0.107547569493012,-0.00334164314007124,0.0319524745069874,-0.0614711947214423,-0.00516828814125101,-0.0342629642413351,-0.321843483152976,-0.150089184468966,-0.208912713880727,0.0348483405704889,0.119872569303725,0.104065735089538,-0.0246438001044809,-0.0260870135492245,-0.0402332504065201
"1990-06-01",-0.0965412837421405,0.0395015306491178,-0.116573294117648,0.00362508536221329,-0.0105407193742211,-0.0267365179601659,-0.216254722282479,-0.190247962811891,-0.243189139282479,0.00125296517196983,0.0160674125588572,-0.00910578591698276,0.18368633794341,0.279884540423861,0.032825716894442,-0.165843471580602,-0.0995913799180775,-0.20253396887099,-0.0157428341442117,0.00482186464713005,0.00704693379092206
"1990-07-01",0.1643385726452,-0.117004971761637,-1.39276423529412,-0.0130441225011529,-0.0267782644510742,-0.0435458646942265,0.179165563907452,0.214347408378041,0.0908179966133336,0.00896864314431077,-0.0385702204897359,-0.0393077843052532,-0.132895739634886,0.00671857987844471,-0.0815167142391981,-0.0016836938392577,-0.0286243506671287,-0.0389937438544135,-0.049242229635624,-0.0288649954865701,-0.0191520721707742
"1990-08-01",-0.131365079358134,-0.0411983801003576,-1.30568417647059,-0.0603827894268164,-0.0120212379629178,-0.0479344377341158,0.164075039384331,0.154978341678448,0.119684224031391,-0.0449858386668559,0.0199345851555349,-0.0317780595863707,-0.286059251661455,0.0966263278707934,0.0789792690472646,0.0709089011401451,0.0795000408888055,0.111749665700503,-0.0451309237672155,-0.00911771627894959,-0.0544137913243116
"1990-09-01",-0.335512078266425,0.17623888443306,0.281044176470589,-0.00251440232792783,-0.0700367860453831,-0.00060582146508528,0.235342204551344,0.195073903727815,0.0538974331395795,-0.0048650620666244,-0.0696252329566676,0.0135887997668434,-0.0181136882777356,-0.212025545946239,-0.0649667224168325,-0.0989856427257286,-0.0979382231740296,-0.0508504410054637,0.0167545363980696,-0.0519800428220737,0.0142705228406604
"1990-10-01",0.169155249661327,-0.157381991545857,0.782723823529413,-0.00771074929300622,-0.0480924987121731,-0.0272095280751154,0.0165061724932846,-0.0216564660949502,-0.0334211719773041,-1.69359666078936e-05,-0.0328759921975777,-0.0315825294847767,-0.0880261398631402,-0.555683843973454,-0.21450737338522,0.0595783596294321,-0.0346785870073744,0.0703099598463963,-0.0332583857968214,-0.0536578359603932,-0.0118940801343402
"1990-11-01",0.476531087416816,-0.0103648741239426,0.304036470588236,-0.0301453016584582,-0.00795022080846003,-0.0195522670676852,0.375216076109027,0.397217975403144,0.0913356224619677,-0.0284038979377085,0.00485322572291334,-0.00866294562328353,-0.413853963440647,0.0971614346849179,0.00892614056727925,0.106519772035902,0.0675168871050631,0.195368869201469,-0.00954179337525991,-0.000501267037880612,-0.0253400567575829
"1990-12-01",0.120009272427087,-0.0839057081712034,-0.377435529411766,0.00803599452547028,0.0127436369531012,0.0193216660844601,0.195760812752518,0.0947984015172243,-0.187554539659246,-0.0157744484238373,-0.0120442460328896,0.0173961836408182,0.108520910122769,0.0568077643475077,0.168572470229856,-0.103617660402412,-0.0478610775124661,-0.139468330269058,0.0279803984132956,0.0288244233249569,0.0252967063548056
"1991-01-01",-0.4089694778132,-0.185518138821687,-0.38524688235294,0.0027481059967996,0.00356711885001761,0.0038697541215728,0.247746880878047,0.299977727583929,-0.0294340371219536,0.0466951365789064,0.0242873645450239,0.0220444767078507,-0.432666074598373,-0.602934463127355,-0.132346227833233,-0.0640617523540486,0.0557366652475804,-0.178746951795333,-0.00637924302020795,-0.00748875798810702,-0.0114702150878719
"1991-02-01",0.216383115861616,0.132670984075152,0.994396117647057,-0.00630651892910638,-0.025412401629417,-0.0106478399787152,0.271625643634275,0.30603107457545,0.12367813339898,0.00019970510297143,-0.0114642934303959,-0.0147528945322034,-0.684365812526695,-0.175291050108348,-0.157643991284826,0.0400282652785279,-0.0676930759351842,0.127660392582224,-0.0218165190594683,-0.0257143189012203,-0.0134023953446493
