"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1990-01-01",8.84517741935484,7.61135504500907,-16.21984,2.85975985046368,-0.212748154736673,1.76548005906388,5.51434958083706,3.62960257183706,0.42960257183706,-18.3484481398274,-20.8716025269047,-19.6399893255799,-21.7814094620254,-35.9485813253902,1.3514186746098,0.618621756709228,0.423756322791117,0.399524995105059,-0.501502296305107,4.97660890704276,0.417064243951516
"1990-02-01",8.42981543624161,7.71149489475144,-16.582074,2.84507185968465,-0.216321292122366,1.73292197448129,5.4231724100703,3.6237362310703,0.3237362310703,-18.3647956613562,-20.8927460945743,-19.6914095097299,-21.7732500846464,-35.7954349266086,1.1045650733914,0.389776371065611,0.471062349984918,0.248971991295108,-0.528331497895656,4.98150304086974,0.397365729851515
"1990-03-01",8.07222222222222,7.87291077711434,-15.801455,2.86186185982028,-0.174645076103815,1.75009454583703,5.07932323322336,3.25431906422336,0.0543190642233604,-18.3442977111159,-20.8835827128982,-19.6766006999999,-21.7389008215121,-35.8000974613635,1.1999025386365,0.399697719394807,0.561770961334523,0.152475646434535,-0.485200076127018,5.03245027433634,0.414292696710844
"1990-04-01",8.47686666666667,7.73738580297945,-16.165864,2.84815025396748,-0.154465004653201,1.74189017993408,4.90890164485512,3.06818669085512,-0.03181330914488,-18.3190068982067,-20.8295474743065,-19.6532691319515,-21.8109525919065,-36.5157153284364,-0.0157153284364,0.412074680693608,0.426143484429816,0.194324050375561,-0.492987465636111,5.06549336046083,0.396491633309056
"1990-05-01",7.86498226950355,7.70645116560777,-16.548752,2.79680911838878,-0.172484820508011,1.70321742341967,4.81420064036755,3.05540033736755,0.0554003373675496,-18.3997081031841,-20.8457898268166,-19.7124298334681,-22.0549905904103,-36.7891421290456,-0.489142129045597,0.466460781487164,0.442523210713042,0.314575604089443,-0.517244975568174,5.03723892505575,0.350516016623148
"1990-06-01",8.08555555555555,7.69637511654523,-16.761496,2.80757074599466,-0.194905452368932,1.67010872304981,5.06841140832791,3.40080312532791,0.30080312532791,-18.3966749034821,-20.8191330451539,-19.7403362923502,-21.8662945344816,-36.1938046638005,-0.393804663800502,0.429796367084198,0.556404778103906,0.195958008087541,-0.536668793723509,5.03497467357545,0.354171813720614
"1990-07-01",8.04841846336421,7.58532462870581,-18.314434,2.79591902894617,-0.22073541217669,1.62042559753057,5.20970809504977,3.65350324604977,0.253503246049769,-18.3763315876938,-20.8690266011288,-19.7789117527808,-21.6931059640838,-35.7828493314826,-0.182849331482601,0.717995989980575,0.685301986420856,0.47191965546573,-0.593216341934896,5.00421137148363,0.331028876955147
"1990-08-01",7.70094202898551,7.41495342155107,-19.719577,2.73335418026344,-0.226788466132309,1.56987088748756,5.11050096101986,3.46561671301986,0.0656167130198604,-18.4295745483084,-20.8387939449927,-19.8141156753653,-22.0068488312642,-35.6765565339195,-0.176556533919502,0.683423190507826,0.592580955875037,0.545437705722879,-0.642537862733403,4.99356305589294,0.268193395867919
"1990-09-01",7.2730303030303,7.3199105753013,-19.383862,2.71646303397432,-0.307105057960012,1.56353455794548,5.18299693726829,3.45216680026829,0.0521668002682905,-18.4595567951969,-20.9158187660831,-19.8275120399098,-21.9111718013167,-35.9124548028201,-0.212454802820105,0.610496361107533,0.687502632963313,0.516453411665033,-0.630952576966828,4.93044063043355,0.267657920620853
"1990-10-01",7.34287593984962,7.12717291877748,-18.375728,2.69867347920436,-0.362408308200994,1.53409460687078,5.01758614375878,3.33308763575878,0.0330876357587799,-18.4807502722563,-20.9548832874314,-19.8539477720297,-22.0481130627828,-36.5749262711114,-0.374926271111406,0.81091469652671,0.653708652044618,0.723161958630814,-0.665570412789711,4.86438256540353,0.248265340087989
"1990-11-01",8.03903846153846,7.0170484965039,-17.865698,2.67342980570693,-0.365396321961466,1.51294693291757,5.35103235400072,3.95751281800072,0.25751281800072,-18.5191578515181,-20.9460921557357,-19.8667797563295,-22.605416412792,-36.2483530717206,-0.448353071720597,0.742362239159609,0.541126302745201,0.722499629865802,-0.675085037741537,4.86148155319304,0.228648371948655
"1990-12-01",7.85628571428571,6.69854775224253,-18.360014,2.68021673737512,-0.355893252990754,1.53563613282834,5.38343189249062,4.17760559349062,-0.0223944065093793,-18.5199404850616,-20.9944854585458,-19.8275168981179,-22.6011428055221,-36.1483530717206,-0.548353071720598,0.412228846710624,0.490654010587935,0.467872644114605,-0.653314280058222,4.89701109846371,0.247953230222784
"1991-01-01",7.24253846153846,6.17848872015115,-18.620264,2.68199690492991,-0.332907843499157,1.53824880593019,6.35677967566598,5.05297683766598,0.55297683766598,-18.4868596407239,-20.9641199766996,-19.8206102615168,-22.9051522953767,-36.4108245400119,-0.210824540011899,0.467406485640187,0.339752672301939,0.260580561713919,-0.65990058676631,4.89558801284889,0.240118655520171
"1991-02-01",7.45969696969697,5.89748292805499,-17.393508,2.68734144117037,-0.356126024850909,1.52851030891224,6.53603770322666,5.18911398022666,0.58911398022666,-18.4910581281438,-20.9682071024135,-19.848213653328,-23.6129776868308,-36.1264424070847,-0.326442407084706,0.261223987395759,0.393539825333626,0.183665639934559,-0.675034125133018,4.87164751864321,0.237835100057199
